"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-16",,"58","30","31"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-17",,"36","21","32"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-18",,"40","19","34"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-19",,"41","29","38"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-20",,"44","38","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-21",,"47","40","46"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-22",,"56","33","54"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-23",,"65","38","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-24",,"65","40","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-25",,"63","50","55"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-26",,"60","39","57"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-27",,"57","41","50"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-28",,"50","31","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-29",,"48","34","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-30",,"53","32","50"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-03-31",,"60","29","57"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-01",,"63","36","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-02",,"61","47","55"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-03",,"58","46","58"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-04",,"58","34","34"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-05",,"53","26","51"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-06",,"57","47","56"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-07",,"56","34","38"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-08",,"39","30","38"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-09",,"53","27","47"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-10",,"47","27","43"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-11",,"43","32","33"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-12",,"47","27","46"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-13",,"52","28","49"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-14",,"73","35","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-15",,"76","50","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-16",,"73","42","55"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-17",,"55","42","51"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-18",,"61","41","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-19",,"61","44","53"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-20",,"53","45","52"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-21",,"53","41","41"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-22",,"60","39","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-23",,"65","37","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-24",,"65","45","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-25",,"63","37","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-26",,"64","34","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-27",,"63","35","60"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-28",,"65","35","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-29",,"70","40","68"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-04-30",,"68","38","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-01",,"67","46","56"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-02",,"67","40","64"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-03",,"70","45","68"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-04",,"80","50","78"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-05",,"82","60","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-06",,"85","60","84"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-07",,"84","64","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-08",,"85","66","83"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-09",,"83","62","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-10",,"77","45","64"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-11",,"65","48","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-12",,"83","58","83"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-13",,"83","58","59"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-14",,"59","42","54"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-15",,"64","41","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-16",,"63","42","51"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-17",,"72","46","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-18",,"71","51","51"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-19",,"51","43","48"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-20",,"65","43","65"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-21",,"67","49","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-22",,"69","49","63"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-23",,"73","58","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-24",,"79","57","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-25",,"73","50","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-26",,"72","45","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-27",,"70","56","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-28",,"62","50","61"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-29",,"70","46","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-30",,"73","51","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-05-31",,"83","60","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-01",,"86","63","85"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-02",,"85","64","66"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-03",,"66","44","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-04",,"67","46","65"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-05",,"65","49","50"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-06",,"70","44","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-07",,"77","51","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-08",,"84","60","84"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-09",,"87","62","86"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-10",,"89","61","88"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-11",,"88","72","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-12",,"80","60","62"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-13",,"83","61","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-14",,"85","65","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-15",,"74","66","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-16",,"85","62","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-17",,"75","62","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-18",,"71","54","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-19",,"79","53","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-20",,"79","58","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-21",,"79","67","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-22",,"77","63","73"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-23",,"80","58","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-24",,"80","65","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-25",,"83","64","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-26",,"81","63","79"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-27",,"79","58","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-28",,"75","53","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-29",,"75","57","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-06-30",,"77","52","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-01",,"82","54","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-02",,"84","61","82"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-03",,"82","67","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-04",,"82","61","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-05",,"80","63","78"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-06",,"78","59","67"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-07",,"74","54","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-08",,"72","55","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-09",,"81","62","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-10",,"78","65","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-11",,"78","65","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-12",,"77","55","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-13",,"82","55","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-14",,"83","65","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-15",,"75","60","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-16",,"78","60","76"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-17",,"86","62","83"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-18",,"83","57","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-19",,"72","59","69"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-20",,"75","55","74"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-21",,"74","59","70"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-22",,"72","51","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-23",,"72","56","71"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-24",,"77","54","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-25",,"80","54","78"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-26",,"83","62","80"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-27",,"86","64","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-28",,"81","62","64"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-29",,"72","64","72"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-30",,"75","66","75"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-07-31",,"79","66","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-01",,"77","65","77"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-02",,"83","65","81"
"USC00200230","ANN ARBOR U OF MICH, MI US","2000-08-03",,"81","58","69"
